player_id,first_name,last_name,email,phone_number,birthday,position,shoots,height,weight_lbs,jersey_num,gender,gpa,years_eligibility,development_id
1,Jonathan,Gilbert,timothynicholson@example.org,2020736631,2002-09-05,F,R,"6'5""",161.7,42,M,2.72,2,1
2,Ronald,Wallace,hholt@example.com,9042997789,1998-07-12,F,R,"6'1""",173.9,98,M,3.11,4,5
3,John,Riley,jonesalyssa@example.net,4294754508,2000-02-18,F,R,"6'0""",190.9,38,M,2.93,4,4
4,Jason,Wilkinson,troy66@example.com,2660750938,2002-02-02,F,L,"5'9""",193.6,70,M,3.4,5,3
5,Eduardo,Madden,samantha33@example.com,1459700465,2004-07-10,F,L,"5'7""",208.5,33,M,3.02,5,4
6,Thomas,Brandt,leonard94@example.com,6788936385,2000-11-18,F,R,"5'9""",219.5,77,M,3.77,1,2
7,Thomas,Hernandez,wernerjane@example.com,8729717452,2004-07-05,F,R,"6'9""",165.7,77,M,3.98,2,1
8,Robert,Beltran,bryan58@example.net,1126960822,2005-10-24,F,R,"6'0""",174.9,33,M,2.58,2,4
9,Brian,Noble,brian86@example.com,6098337293,2000-02-29,F,R,"5'10""",208.2,52,M,2.77,2,5
10,Tony,Ruiz,melendezphillip@example.org,7827558722,2003-03-28,F,R,"6'2""",167.8,74,M,3.88,3,4
11,Nathan,Mercer,ccabrera@example.com,3373900558,1997-11-24,F,L,"5'6""",197.1,86,M,3.2,5,4
12,Michael,Myers,jonesphilip@example.net,0923274976,2000-06-19,F,L,"5'11""",218.3,14,M,3.31,5,5
13,Thomas,Allen,ilee@example.org,5882143964,2002-03-22,D,R,"5'9""",217.5,58,M,3.78,3,4
14,Juan,Spears,jacob22@example.com,1083839539,1997-04-11,D,R,"6'9""",209.9,61,M,3.6,2,3
15,Glen,Foley,zpatel@example.com,1701645171,1997-03-16,D,R,"5'6""",196.2,79,M,3.99,1,3
16,Charles,Dyer,johnbarnes@example.com,6790542254,1997-04-23,D,R,"5'11""",164.2,8,M,3.37,3,3
17,Clinton,Bryant,williamsdominic@example.org,2794344374,2002-09-10,D,L,"5'6""",183.7,25,M,3.88,3,1
18,Christopher,Hardy,diane30@example.org,6272744748,2002-05-02,D,R,"5'11""",218.3,64,M,3.35,2,3
19,George,Robbins,roachlisa@example.com,5176883743,1997-07-19,G,R,"6'7""",214.9,35,M,3.73,4,2
20,Miguel,Hernandez,amy48@example.org,3563751974,1999-01-28,G,L,"5'8""",180.0,30,M,3.48,4,1
21,Jeffery,Walker,walkermary@example.com,7909387607,2004-07-18,F,L,"6'7""",186.5,56,M,3.77,2,4
22,Christopher,Black,john62@example.com,3306417146,2000-10-18,F,L,"5'10""",191.5,85,M,3.06,3,2
23,Jeffery,Humphrey,romanmarcia@example.net,0590868332,1999-03-02,F,R,"5'6""",184.0,60,M,3.45,4,5
24,Tyrone,Boyer,amanda27@example.net,3950974036,2004-02-06,F,R,"6'8""",182.2,3,M,2.61,1,1
25,Jacob,King,fstokes@example.net,0270053794,2005-08-20,F,R,"6'6""",215.4,54,M,2.55,2,5
26,Benjamin,Thomas,melissamiller@example.org,9777702432,2006-01-30,F,L,"6'3""",164.0,35,M,3.91,1,2
27,Andrew,Lewis,michael63@example.org,2870680474,2006-07-15,F,L,"6'2""",209.9,73,M,3.61,4,2
28,Mike,Brown,vasquezlatasha@example.com,6204930071,1997-09-27,F,L,"6'8""",183.4,62,M,3.84,2,2
29,Samuel,Morris,sean63@example.com,6603140100,2004-03-12,F,L,"5'6""",169.0,13,M,3.61,2,5
30,Jacob,Mullins,franklinortega@example.com,6867299568,2000-06-01,F,R,"6'3""",177.9,48,M,3.57,4,1
31,Benjamin,Wallace,rachel49@example.org,4660365066,2005-02-05,F,L,"6'3""",213.7,31,M,2.75,4,1
32,John,Dominguez,gespinoza@example.net,8593283280,2006-11-17,F,R,"5'9""",173.4,78,M,2.9,3,2
33,Jeremy,Lopez,dustinjacobs@example.org,3390634781,2004-09-16,D,L,"5'11""",198.5,6,M,2.93,5,1
34,Alexander,Kelley,ujones@example.org,6306394887,1998-07-23,D,L,"6'5""",209.5,61,M,3.92,5,5
35,David,Roberts,qcoleman@example.org,0031759534,1997-08-06,D,R,"6'3""",165.6,74,M,3.26,3,2
